Lokasi,Tren,Tanggal Listing,Harga,Harga Asli,Omset 30 Hari,Rata-rata Omset per bulan,Omset Total,Penjualan 30 Hari,Rata-rata Penjualan per bulan,Penjualan Total,Jumlah Stok,Nilai Stok,Rating,Jumlah Ulasan,Wishlist,Category,Harga_encoded,Rata-rata Penjualan per bulan_outlier_flag,Rata-rata Omset per bulan_outlier_flag,Nilai Stok_outlier_flag
KOTA JAKARTA BARAT,-92.0,2023-03-12,16400,39900,5822000,11210550,204311200,355.0,683,12458.0,37,606800,4.81,4685.0,6830.0,misc,17500.0,False,False,False
KAB. TANGERANG,43.0,2023-01-05,4999,20316,4604079,2624359,53724253,921.0,524,10747.0,5491,27449509,4.52,1824.0,541.0,misc,39000.0,False,False,False
KOTA BUKITTINGGI,47.0,2023-02-14,6200,0,4792600,2531662,48521200,773.0,408,7826.0,74,458800,4.505000000000001,2183.0,297.0,misc,10800.0,False,False,False
KOTA SURABAYA,64.0,2023-11-09,5300,12799,3476800,1218707,12592800,656.0,229,2376.0,2264,11999200,4.54,719.0,119.0,misc,16221.5,False,False,False
KAB. TUBAN,81.0,2019-02-10,4400,4750,14902800,2809175,189032800,3387.0,638,42962.0,24218,106559200,4.77,3699.0,638.0,misc,4400.0,False,False,False
KOTA PONTIANAK,57.0,2023-06-10,5999,0,4757207,2029026,31014830,793.0,338,5170.0,168,1007832,4.72,1522.0,186.0,misc,5999.0,False,False,False
KOTA PALEMBANG,93.0,2020-08-11,9000,13194,7902000,481367,23715000,878.0,53,2635.0,994,8946000,4.82,386.0,230.0,misc,22750.0,False,False,False
KOTA MALANG,63.0,2021-06-20,4500,0,1620000,592428,23089500,360.0,131,5131.0,60,270000,4.76,1711.0,618.0,misc,20250.0,False,False,False
KOTA JAKARTA BARAT,-115.0,2023-05-29,8500,0,5346500,11547298,180999000,629.0,1358,21294.0,4175,35487500,4.57,6893.0,6261.0,misc,17500.0,False,False,False
KOTA SURABAYA,81.0,2023-05-20,5299,6722,40876486,7481276,119444759,6632.0,1411,22541.0,16702,88503898,4.57,3684.0,437.0,misc,16221.5,False,False,False
KOTA JAKARTA UTARA,-19.0,2024-06-09,16500,0,9091500,10859225,36069000,551.0,658,2186.0,1846,30459000,4.91,508.0,259.0,misc,50000.0,False,False,False
KAB. SLEMAN,86.0,2019-04-16,5500,9000,5027000,661360,43048500,914.0,120,7827.0,1732,9526000,4.7,2464.0,602.0,misc,35000.0,False,False,False
KOTA SURABAYA,96.0,2020-02-13,11035,20000,28062005,914059,50452020,2543.0,82,4572.0,497,5484395,4.82,971.0,391.0,misc,16221.5,False,False,False
KAB. SLEMAN,59.0,2023-02-28,4499,18750,1588147,646938,12102310,353.0,143,2690.0,447,2011053,4.505000000000001,969.0,163.0,misc,35000.0,False,False,False
